event_time,gen,vendor,role,device_name,syslog,card,unit_name,alarm_group,keyword,service_effect,after_action,action_result
2024-03-05 13:22:14,LTE,Ciena,IBR,Device-05,NodeDown,제어부,Power,SW,Heartbeat failure,있음,"2024-03-05 21:22:14 - 조치: 인증 실패로 보안 설정 점검
2024-03-06 05:22:14 - 조치: Link down 발생, 교체 작업 수행
2024-03-05 19:22:14 - 조치 완료",자동복구
2024-03-06 02:30:03,LTE,Nokia,IBRR,Device-05,195.119.188.85 3687: LC/1/2/CPU3: Mar 06 02:30:03.000 emon_proxy: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-6 :DECLARE :CPU1: Optics2/1/6,Power,SFP,SW,System reboot,있음,"2024-03-06 07:30:03 - 조치: Power supply 이상으로 전원 모듈 교체
2024-03-06 14:30:03 - 조치: CRC 발생으로 모니터링 강화
2024-03-07 01:30:03 - 조치: 온도 경고로 팬 모듈 교체
2024-03-07 07:30:03 - 조치 완료",유니트교체복구
2024-03-06 15:37:52,5G,Huawei,IVC,Device-07,NodeDown,광모듈,FAN,HW,Packet loss,있음,"2024-03-07 02:37:52 - 조치: Power supply 이상으로 전원 모듈 교체
2024-03-07 04:37:52 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-07 12:37:52 - 조치 완료",원격조치복구
2024-03-07 04:45:41,5G,Huawei,L3SW,Device-23,Device-23: Mar 07 04:45:41.000 optics_driver: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 1/5. Reason: EPC heartbeat failure,제어부,Power,SW,Packet loss,없음,"2024-03-07 14:45:41 - 조치: 온도 경고로 팬 모듈 교체
2024-03-08 01:45:41 - 조치: Heartbeat 실패로 재부팅 실시
2024-03-07 20:45:41 - 조치 완료",원격조치복구
2024-03-07 17:53:30,LTE,Nokia,ROTN,Device-24,1357 Mar 07 17:53:30.000 KST MINOR: PORT #8960 Base Port 7/8 Excess internal MAC TX errors detected Set,Power,Power,HW,Link Down,있음,"2024-03-07 22:53:30 - 조치: Heartbeat 실패로 재부팅 실시
2024-03-08 03:53:30 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-08 10:53:30 - 조치: 온도 경고로 팬 모듈 교체
2024-03-08 11:53:30 - 조치 완료",유니트교체복구
2024-03-08 07:01:19,5G,Nokia,IBR,Device-16,"Device-16: Mar 08 07:01:19.000 shelf_mgr: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 5/5",Power,FAN,SW,Authentication failure,없음,"2024-03-08 09:01:19 - 조치: 온도 경고로 팬 모듈 교체
2024-03-08 11:01:19 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-08 20:01:19 - 조치 완료",유니트교체복구
2024-03-08 20:09:08,5G,Ciena,IVR,Device-24,"Device-24: Mar 08 20:09:08.000 card_mgr: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Power up after unexpected card reset' for card 2/3",I/O,CSM,SW,CRC,없음,"2024-03-09 07:09:08 - 조치: CRC 발생으로 모니터링 강화
2024-03-09 15:09:08 - 조치: 인증 실패로 보안 설정 점검
2024-03-09 08:09:08 - 조치 완료",유니트교체복구
2024-03-09 09:16:57,LTE,Cisco,IVC,Device-21,NodeDown,일체형,IOM,HW,Link Down,없음,"2024-03-09 13:16:57 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-09 14:16:57 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-10 05:16:57 - 조치 완료",원격조치복구
2024-03-09 22:24:46,LTE,Huawei,IBR,Device-21,NodeDown,스위칭부,Power,SW,Packet loss,있음,"2024-03-10 01:24:46 - 조치: Link down 발생, 교체 작업 수행
2024-03-10 08:24:46 - 조치: 인증 실패로 보안 설정 점검
2024-03-10 05:24:46 - 조치 완료",유니트교체복구
2024-03-10 11:32:35,5G,Ciena,IVC,Device-13,NodeDown,일체형,LC,HW,Temperature alarm,있음,"2024-03-10 15:32:35 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-10 17:32:35 - 조치: 모듈 고장으로 원격 리셋 수행
2024-03-11 02:32:35 - 조치 완료",양호
2024-03-11 00:40:24,LTE,Huawei,IBRR,Device-05,6399 Mar 11 00:40:24.000 KST MINOR: PORT #1374 Base Port 4/2 Excess internal MAC TX errors detected Set,제어부,Power,SW,Link Down,없음,"2024-03-11 05:40:24 - 조치: Power supply 이상으로 전원 모듈 교체
2024-03-11 10:40:24 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-11 14:40:24 - 조치: Link down 발생, 교체 작업 수행
2024-03-11 11:40:24 - 조치 완료",원격조치복구
2024-03-11 13:48:12,LTE,Ciena,IBRR,Device-28,5628 Mar 11 13:48:12.000 KST MINOR: PORT #1841 Base Port 5/5 Excess internal MAC TX errors detected Set,스위칭부,IOM,HW,System reboot,있음,"2024-03-11 19:48:12 - 조치: 모듈 고장으로 원격 리셋 수행
2024-03-11 21:48:12 - 조치: Power supply 이상으로 전원 모듈 교체
2024-03-12 15:48:12 - 조치 완료",유니트교체복구
2024-03-12 02:56:01,LTE,Nokia,IBC,Device-27,NodeDown,광모듈,FAN,HW,Authentication failure,Ring Open,"2024-03-12 06:56:01 - 조치: 모듈 고장으로 원격 리셋 수행
2024-03-12 10:56:01 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-12 13:56:01 - 조치: 인증 실패로 보안 설정 점검
2024-03-12 13:56:01 - 조치 완료",유니트교체복구
2024-03-12 16:03:50,5G,Nokia,L3SW,Device-24,Device-24: Mar 12 16:03:50.000 shelf_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 1/6. Reason: EPC heartbeat failure,I/O,Power,SW,Power supply fault,없음,"2024-03-12 20:03:50 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-13 06:03:50 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-12 20:03:50 - 조치 완료",자동복구
2024-03-13 05:11:39,5G,Ciena,L3SW,Device-27,Device-27: Mar 13 05:11:39.000 card_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 6/6. Reason: EOBC heartbeat failure,공통부,FAN,HW,System reboot,있음,"2024-03-13 10:11:39 - 조치: 온도 경고로 팬 모듈 교체
2024-03-13 20:11:39 - 조치: 온도 경고로 팬 모듈 교체
2024-03-14 00:11:39 - 조치: Link down 발생, 교체 작업 수행
2024-03-13 23:11:39 - 조치 완료",원격조치복구
2024-03-13 18:19:28,5G,Nokia,IBRR,Device-28,"Device-28: Mar 13 18:19:28.000 card_mgr: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Power up after unexpected card reset' for card 6/2",광모듈,FAN,SW,Module failure,있음,"2024-03-13 19:19:28 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-14 04:19:28 - 조치: 인증 실패로 보안 설정 점검
2024-03-14 17:19:28 - 조치 완료",양호
2024-03-14 07:27:17,5G,Ciena,Clock,Device-07,Device-07: Mar 14 07:27:17.000 optics_driver: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 4/7. Reason: Power failure detected,공통부,FAN,SW,Network congestion,있음,"2024-03-14 12:27:17 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-14 16:27:17 - 조치: 온도 경고로 팬 모듈 교체
2024-03-14 21:27:17 - 조치 완료",양호
2024-03-14 20:35:06,5G,Cisco,L3SW,Device-08,Device-08: Mar 14 20:35:06.000 card_mgr: %DRIVER- CARD_MGR-3-CPU_MCERR : CPU on 4/7 reporting a machine check error condition. Card will be auto reset to recover from this failure.,제어부,SC,SW,Power supply fault,없음,"2024-03-15 04:35:06 - 조치: CRC 발생으로 모니터링 강화
2024-03-15 15:35:06 - 조치: 모듈 고장으로 원격 리셋 수행
2024-03-15 17:35:06 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-15 14:35:06 - 조치 완료",양호
2024-03-15 09:42:55,5G,Nokia,IBC,Device-12,Network element does not respond to SNMP requests,광모듈,CSM,HW,Power supply fault,없음,"2024-03-15 16:42:55 - 조치: 인증 실패로 보안 설정 점검
2024-03-15 23:42:55 - 조치: 모듈 고장으로 원격 리셋 수행
2024-03-15 22:42:55 - 조치 완료",자동복구
2024-03-15 22:50:44,5G,Nokia,IVR,Device-06,NodeDown,I/O,SC,SW,Module failure,없음,"2024-03-15 23:50:44 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-16 06:50:44 - 조치: 인증 실패로 보안 설정 점검
2024-03-16 11:50:44 - 조치: Link down 발생, 교체 작업 수행
2024-03-16 04:50:44 - 조치 완료",원격조치복구
2024-03-16 11:58:33,LTE,Huawei,IVR,Device-17,9709 Mar 16 11:58:33.000 KST MINOR: PORT #6196 Base Port 6/8 Excess internal MAC TX errors detected Set,광모듈,CSM,SW,Heartbeat failure,Ring Open,"2024-03-16 14:58:33 - 조치: Link down 발생, 교체 작업 수행
2024-03-16 23:58:33 - 조치: 인증 실패로 보안 설정 점검
2024-03-17 08:58:33 - 조치 완료",양호
2024-03-17 01:06:22,LTE,Cisco,IVRR,Device-06,245.26.98.109 7599: LC/3/2/CPU2: Mar 17 01:06:22.000 shelf_mgr: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-2 :DECLARE :CPU1: Optics2/7/5,일체형,SFP,HW,Heartbeat failure,없음,"2024-03-17 08:06:22 - 조치: 인증 실패로 보안 설정 점검
2024-03-17 17:06:22 - 조치: 온도 경고로 팬 모듈 교체
2024-03-17 14:06:22 - 조치 완료",자동복구
2024-03-17 14:14:11,5G,Cisco,IBC,Device-18,Device-18: Mar 17 14:14:11.000 shelf_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 2/2. Reason: EPC heartbeat failure,공통부,Power,HW,Module failure,없음,"2024-03-17 21:14:11 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-18 06:14:11 - 조치: 온도 경고로 팬 모듈 교체
2024-03-18 07:14:11 - 조치: Link down 발생, 교체 작업 수행
2024-03-18 04:14:11 - 조치 완료",자동복구
2024-03-18 03:22:00,LTE,Cisco,ROTN,Device-11,208.182.38.170 4323: LC/0/3/CPU1: Mar 18 03:22:00.000 optics_driver: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-5 :DECLARE :CPU3: Optics6/6/5,광모듈,SC,HW,Heartbeat failure,없음,"2024-03-18 07:22:00 - 조치: 온도 경고로 팬 모듈 교체
2024-03-18 18:22:00 - 조치: CRC 발생으로 모니터링 강화
2024-03-19 04:22:00 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-18 05:22:00 - 조치 완료",유니트교체복구
2024-03-18 16:29:49,5G,Nokia,L3SW,Device-04,Device-04: Mar 18 16:29:49.000 emon_proxy: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 4/0. Reason: EOBC heartbeat failure,Power,LC,HW,Power supply fault,없음,"2024-03-18 22:29:49 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-18 23:29:49 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-19 04:29:49 - 조치 완료",유니트교체복구
2024-03-19 05:37:38,5G,Nokia,IVC,Device-20,Network element does not respond to SNMP requests,공통부,FAN,SW,Network congestion,있음,"2024-03-19 07:37:38 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-19 08:37:38 - 조치: 모듈 고장으로 원격 리셋 수행
2024-03-20 03:37:38 - 조치 완료",자동복구
2024-03-19 18:45:27,LTE,Huawei,Clock,Device-06,Device-06: Mar 19 18:45:27.000 emon_proxy: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 0/3. Reason: EOBC heartbeat failure,일체형,LC,HW,Heartbeat failure,없음,"2024-03-19 23:45:27 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-20 10:45:27 - 조치: Heartbeat 실패로 재부팅 실시
2024-03-20 11:45:27 - 조치 완료",양호
2024-03-20 07:53:15,LTE,Cisco,Clock,Device-12,53.223.195.248 4790: LC/2/3/CPU3: Mar 20 07:53:15.000 shelf_mgr: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-3 :DECLARE :CPU2: Optics1/6/2,제어부,SFP,SW,Heartbeat failure,Ring Open,"2024-03-20 12:53:15 - 조치: CRC 발생으로 모니터링 강화
2024-03-20 23:53:15 - 조치: Heartbeat 실패로 재부팅 실시
2024-03-21 00:53:15 - 조치 완료",자동복구
2024-03-20 21:01:04,5G,Cisco,ROTN,Device-21,Network element does not respond to SNMP requests,스위칭부,IOM,HW,Temperature alarm,Ring Open,"2024-03-21 02:01:04 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-21 06:01:04 - 조치: 온도 경고로 팬 모듈 교체
2024-03-21 10:01:04 - 조치 완료",양호
2024-03-21 10:08:53,5G,Ciena,IBC,Device-10,Device-10: Mar 21 10:08:53.000 card_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 2/4. Reason: Power failure detected,Power,Power,HW,CRC,없음,"2024-03-21 18:08:53 - 조치: 인증 실패로 보안 설정 점검
2024-03-21 22:08:53 - 조치: Heartbeat 실패로 재부팅 실시
2024-03-22 09:08:53 - 조치 완료",원격조치복구
2024-03-21 23:16:42,5G,Cisco,IVC,Device-05,"Device-05: Mar 21 23:16:42.000 optics_driver: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 6/7",광모듈,FAN,SW,Temperature alarm,없음,"2024-03-22 09:16:42 - 조치: 모듈 고장으로 원격 리셋 수행
2024-03-22 11:16:42 - 조치: 온도 경고로 팬 모듈 교체
2024-03-22 18:16:42 - 조치 완료",원격조치복구
2024-03-22 12:24:31,5G,Cisco,IVR,Device-22,Device-22: Mar 22 12:24:31.000 shelf_mgr: %DRIVER- CARD_MGR-3-CPU_MCERR : CPU on 2/3 reporting a machine check error condition. Card will be auto reset to recover from this failure.,I/O,CSM,SW,Packet loss,있음,"2024-03-22 21:24:31 - 조치: Heartbeat 실패로 재부팅 실시
2024-03-23 01:24:31 - 조치: 모듈 고장으로 원격 리셋 수행
2024-03-23 13:24:31 - 조치 완료",유니트교체복구
2024-03-23 01:32:20,LTE,Ciena,ROTN,Device-13,NodeDown,Power,LC,SW,CRC,Ring Open,"2024-03-23 07:32:20 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-23 14:32:20 - 조치: 인증 실패로 보안 설정 점검
2024-03-23 22:32:20 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-23 17:32:20 - 조치 완료",자동복구
2024-03-23 14:40:09,LTE,Cisco,L3SW,Device-25,"Device-25: Mar 23 14:40:09.000 card_mgr: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event HW_EVENT_POWERED_ON, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 5/3",광모듈,LC,HW,Authentication failure,없음,"2024-03-24 01:40:09 - 조치: CRC 발생으로 모니터링 강화
2024-03-24 04:40:09 - 조치: Power supply 이상으로 전원 모듈 교체
2024-03-24 09:40:09 - 조치 완료",자동복구
2024-03-24 03:47:58,LTE,Huawei,IVRR,Device-11,Device-11: Mar 24 03:47:58.000 emon_proxy: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 6/1. Reason: EOBC heartbeat failure,일체형,IOM,SW,Link Down,Ring Open,"2024-03-24 10:47:58 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-24 14:47:58 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-25 05:47:58 - 조치 완료",자동복구
2024-03-24 16:55:47,5G,Ciena,IBC,Device-30,Device-30 %%31903 Mar 24 16:55:47.000 KST MINOR: PORT #4829 Base Port 9/6 SFF DDM (txOutputPower-low-warning) raised,광모듈,FAN,SW,Network congestion,없음,"2024-03-25 02:55:47 - 조치: Power supply 이상으로 전원 모듈 교체
2024-03-25 08:55:47 - 조치: Link down 발생, 교체 작업 수행
2024-03-25 12:55:47 - 조치 완료",양호
2024-03-25 06:03:36,5G,Ciena,IVR,Device-04,NodeDown,스위칭부,SC,HW,Module failure,있음,"2024-03-25 14:03:36 - 조치: 온도 경고로 팬 모듈 교체
2024-03-25 20:03:36 - 조치: 인증 실패로 보안 설정 점검
2024-03-25 23:03:36 - 조치 완료",원격조치복구
2024-03-25 19:11:25,5G,Huawei,IVC,Device-22,"Device-22: Mar 25 19:11:25.000 emon_proxy: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event HW_EVENT_POWERED_ON, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 1/0",I/O,SC,SW,Link Down,Ring Open,"2024-03-25 20:11:25 - 조치: Power supply 이상으로 전원 모듈 교체
2024-03-26 02:11:25 - 조치: 온도 경고로 팬 모듈 교체
2024-03-26 03:11:25 - 조치: CRC 발생으로 모니터링 강화
2024-03-26 04:11:25 - 조치 완료",양호
2024-03-26 08:19:14,5G,Nokia,IBRR,Device-03,Network element does not respond to SNMP requests,공통부,SFP,SW,Temperature alarm,없음,"2024-03-26 12:19:14 - 조치: 온도 경고로 팬 모듈 교체
2024-03-26 18:19:14 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-03-27 00:19:14 - 조치: Power supply 이상으로 전원 모듈 교체
2024-03-26 15:19:14 - 조치 완료",유니트교체복구
2024-03-26 21:27:03,5G,Cisco,IVRR,Device-01,111.243.77.23 9691: LC/3/3/CPU3: Mar 26 21:27:03.000 emon_proxy: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-0 :DECLARE :CPU2: Optics2/7/7,스위칭부,SFP,HW,Packet loss,있음,"2024-03-27 03:27:03 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-27 12:27:03 - 조치: CRC 발생으로 모니터링 강화
2024-03-27 13:27:03 - 조치: 온도 경고로 팬 모듈 교체
2024-03-27 19:27:03 - 조치 완료",자동복구
2024-03-27 10:34:52,LTE,Cisco,L3SW,Device-23,Device-23 10/7/4 CRC Error,스위칭부,SC,HW,System reboot,Ring Open,"2024-03-27 12:34:52 - 조치: Heartbeat 실패로 재부팅 실시
2024-03-27 19:34:52 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-27 21:34:52 - 조치: CRC 발생으로 모니터링 강화
2024-03-27 15:34:52 - 조치 완료",자동복구
2024-03-27 23:42:41,5G,Huawei,IVC,Device-29,"Device-29: Mar 27 23:42:41.000 shelf_mgr: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event HW_EVENT_POWERED_ON, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 6/5",광모듈,FAN,SW,Packet loss,없음,"2024-03-28 08:42:41 - 조치: 온도 경고로 팬 모듈 교체
2024-03-28 10:42:41 - 조치: Link down 발생, 교체 작업 수행
2024-03-28 10:42:41 - 조치 완료",유니트교체복구
2024-03-28 12:50:30,5G,Ciena,IVRR,Device-03,Device-03: Mar 28 12:50:30.000 shelf_mgr: %DRIVER- CARD_MGR-3-CPU_MCERR : CPU on 1/7 reporting a machine check error condition. Card will be auto reset to recover from this failure.,광모듈,SFP,SW,Link Down,있음,"2024-03-28 20:50:30 - 조치: CRC 발생으로 모니터링 강화
2024-03-28 22:50:30 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-29 05:50:30 - 조치 완료",유니트교체복구
2024-03-29 01:58:18,LTE,Cisco,IBC,Device-18,Device-18 %%14584 Mar 29 01:58:18.000 KST MINOR: PORT #2522 Base Port 9/2 SFF DDM (txOutputPower-low-warning) raised,Power,SFP,HW,Module failure,있음,"2024-03-29 05:58:18 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-29 07:58:18 - 조치: Heartbeat 실패로 재부팅 실시
2024-03-29 19:58:18 - 조치 완료",원격조치복구
2024-03-29 15:06:07,LTE,Ciena,IVR,Device-04,Device-04: Mar 29 15:06:07.000 shelf_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 4/0. Reason: EPC heartbeat failure,I/O,CSM,SW,Module failure,Ring Open,"2024-03-29 19:06:07 - 조치: Link down 발생, 교체 작업 수행
2024-03-30 05:06:07 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-03-30 10:06:07 - 조치 완료",유니트교체복구
2024-03-30 04:13:56,LTE,Ciena,ROTN,Device-27,Device-27: Mar 30 04:13:56.000 optics_driver: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 2/5. Reason: Power failure detected,스위칭부,CSM,SW,Link Down,있음,"2024-03-30 08:13:56 - 조치: 모듈 고장으로 원격 리셋 수행
2024-03-30 15:13:56 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-03-30 09:13:56 - 조치 완료",양호
2024-03-30 17:21:45,LTE,Ciena,L3SW,Device-04,Device-04: Mar 30 17:21:45.000 optics_driver: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 5/7. Reason: EPC heartbeat failure,광모듈,CSM,HW,Temperature alarm,없음,"2024-03-30 21:21:45 - 조치: 인증 실패로 보안 설정 점검
2024-03-31 00:21:45 - 조치: Link down 발생, 교체 작업 수행
2024-03-31 05:21:45 - 조치 완료",자동복구
2024-03-31 06:29:34,5G,Nokia,Clock,Device-06,Device-06: Mar 31 06:29:34.000 optics_driver: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 5/6. Reason: Power failure detected,공통부,LC,HW,Link Down,없음,"2024-03-31 14:29:34 - 조치: 인증 실패로 보안 설정 점검
2024-04-01 01:29:34 - 조치: 모듈 고장으로 원격 리셋 수행
2024-04-01 09:29:34 - 조치: 온도 경고로 팬 모듈 교체
2024-04-01 07:29:34 - 조치 완료",양호
2024-03-31 19:37:23,5G,Huawei,IBC,Device-17,Device-17 %%80397 Mar 31 19:37:23.000 KST MINOR: PORT #2169 Base Port 1/1 SFF DDM (txOutputPower-low-warning) raised,Power,LC,SW,Power supply fault,없음,"2024-04-01 01:37:23 - 조치: 모듈 고장으로 원격 리셋 수행
2024-04-01 02:37:23 - 조치: CRC 발생으로 모니터링 강화
2024-04-01 09:37:23 - 조치 완료",양호
2024-04-01 08:45:12,LTE,Nokia,IBR,Device-10,Network element does not respond to SNMP requests,광모듈,Power,SW,Heartbeat failure,Ring Open,"2024-04-01 19:45:12 - 조치: Heartbeat 실패로 재부팅 실시
2024-04-02 02:45:12 - 조치: Link down 발생, 교체 작업 수행
2024-04-01 16:45:12 - 조치 완료",원격조치복구
2024-04-01 21:53:01,5G,Nokia,IBRR,Device-07,Device-07 %%65722 Apr 01 21:53:01.000 KST MINOR: PORT #4842 Base Port 4/5 SFF DDM (txOutputPower-low-warning) raised,광모듈,CSM,SW,Network congestion,없음,"2024-04-02 07:53:01 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-04-02 18:53:01 - 조치: 인증 실패로 보안 설정 점검
2024-04-03 00:53:01 - 조치 완료",양호
2024-04-02 11:00:50,5G,Cisco,IBR,Device-08,Network element does not respond to SNMP requests,I/O,IOM,HW,Module failure,없음,"2024-04-02 21:00:50 - 조치: 모듈 고장으로 원격 리셋 수행
2024-04-02 23:00:50 - 조치: 인증 실패로 보안 설정 점검
2024-04-02 16:00:50 - 조치 완료",유니트교체복구
2024-04-03 00:08:39,5G,Huawei,L3SW,Device-14,"Device-14: Apr 03 00:08:39.000 emon_proxy: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event HW_EVENT_POWERED_ON, event_reason_str 'Power up after unexpected card reset' for card 4/6",공통부,Power,HW,Power supply fault,없음,"2024-04-03 06:08:39 - 조치: Heartbeat 실패로 재부팅 실시
2024-04-03 10:08:39 - 조치: Power supply 이상으로 전원 모듈 교체
2024-04-03 15:08:39 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-04-03 14:08:39 - 조치 완료",원격조치복구
2024-04-03 13:16:28,5G,Cisco,IVC,Device-29,Device-29 9/2/7 CRC Error,일체형,LC,SW,Module failure,없음,"2024-04-03 16:16:28 - 조치: Heartbeat 실패로 재부팅 실시
2024-04-04 00:16:28 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-04-04 03:16:28 - 조치 완료",양호
2024-04-04 02:24:17,5G,Cisco,ROTN,Device-23,Device-23: Apr 04 02:24:17.000 card_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 1/0. Reason: EPC heartbeat failure,I/O,IOM,SW,Authentication failure,없음,"2024-04-04 03:24:17 - 조치: Heartbeat 실패로 재부팅 실시
2024-04-04 05:24:17 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-04-04 14:24:17 - 조치 완료",자동복구
2024-04-04 15:32:06,5G,Ciena,IVR,Device-16,Device-16: Apr 04 15:32:06.000 card_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 3/3. Reason: EOBC heartbeat failure,I/O,LC,SW,System reboot,있음,"2024-04-04 21:32:06 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-04-05 00:32:06 - 조치: CRC 발생으로 모니터링 강화
2024-04-05 03:32:06 - 조치 완료",자동복구
2024-04-05 04:39:55,LTE,Nokia,IBR,Device-27,Network element does not respond to SNMP requests,일체형,CSM,SW,Temperature alarm,Ring Open,"2024-04-05 05:39:55 - 조치: 모듈 고장으로 원격 리셋 수행
2024-04-05 15:39:55 - 조치: CRC 발생으로 모니터링 강화
2024-04-06 00:39:55 - 조치 완료",양호
2024-04-05 17:47:44,5G,Ciena,IBC,Device-13,Device-13: Apr 05 17:47:44.000 optics_driver: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 4/7. Reason: EPC heartbeat failure,I/O,IOM,HW,System reboot,없음,"2024-04-05 23:47:44 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-04-06 01:47:44 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-04-06 03:47:44 - 조치 완료",양호
2024-04-06 06:55:33,5G,Huawei,L3SW,Device-05,8497 Apr 06 06:55:33.000 KST MINOR: PORT #6194 Base Port 7/10 Excess internal MAC TX errors detected Set,제어부,CSM,SW,Power supply fault,없음,"2024-04-06 15:55:33 - 조치: Power supply 이상으로 전원 모듈 교체
2024-04-06 20:55:33 - 조치: Heartbeat 실패로 재부팅 실시
2024-04-07 07:55:33 - 조치 완료",자동복구
2024-04-06 20:03:22,5G,Huawei,L3SW,Device-10,Device-10 5/8/6 CRC Error,스위칭부,CSM,SW,System reboot,Ring Open,"2024-04-07 06:03:22 - 조치: 인증 실패로 보안 설정 점검
2024-04-07 07:03:22 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-04-07 18:03:22 - 조치: Power supply 이상으로 전원 모듈 교체
2024-04-08 01:03:22 - 조치 완료",양호
